gene_name,gene_id,num_codewords,num_probesets,protein_name,location,cell_type,cellchat_pathway
A1cf,ENSMUSG00000052595,2,2,APOBEC1 complementation factor (APOBEC1-stimulating protein),Nucleus,,
A2m,ENSMUSG00000030111,2,2,Alpha-2-macroglobulin-P (Alpha-2-macroglobulin),Secreted,glioblast;Bergmann glial cell,
Aatf,ENSMUSG00000018697,2,2,Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1) (Traube protein),Nucleus,,
Abca1,ENSMUSG00000015243,2,2,Phospholipid-transporting ATPase ABCA1,Cell membrane,glioblast,ApoA
Abca13,ENSMUSG00000004668,2,2,ATP-binding cassette sub-family A member 13,Cytoplasmic vesicle membrane,kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle medullary thick ascending limb epithelial cell;kidney loop of Henle cortical thick ascending limb epithelial cell;kidney loop of Henle thin ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;kidney connecting tubule epithelial cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney cell,
Abca3,ENSMUSG00000024130,2,2,Phospholipid-transporting ATPase ABCA3,Endosome,epithelial cell of lung;epithelial cell of alveolus of lung;pneumocyte;type II pneumocyte;lung secretory cell,
Abca4,ENSMUSG00000028125,2,2,Retinal-specific phospholipid-transporting ATPase ABCA4,Membrane,,
Abca7,ENSMUSG00000035722,3,3,ATP-binding cassette sub-family A member 7,Cell membrane,,
Abca8a,ENSMUSG00000041828,2,2,ABC-type organic anion transporter ABCA8A,Cell membrane,mesenchymal stem cell;Schwann cell;cardiac neuron;connective tissue cell;fibroblast;pancreatic stellate cell;fibroblast of cardiac tissue;fibroblast of lung;adventitial cell,
Abca8b,ENSMUSG00000020620,2,2,ABC-type organic anion transporter ABCA8B,Cell membrane,,
Abcb1a,ENSMUSG00000040584,2,2,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A),Cell membrane,enterocyte;enterocyte of epithelium of large intestine;blood vessel endothelial cell;endothelial stalk cell;intestinal epithelial cell;epithelial cell of large intestine;endothelial cell;endothelial cell of vascular tree,
Abcb1b,ENSMUSG00000028970,2,2,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1B) (Multidrug resistance protein 1B),Cell membrane,skeletal muscle satellite cell;muscle precursor cell,
Abcb4,ENSMUSG00000042476,2,2,Phosphatidylcholine translocator ABCB4,Cell membrane,,
Abcb8,ENSMUSG00000028973,2,2,"Mitochondrial potassium channel ATP-binding subunit (ATP-binding cassette sub-family B member 8, mitochondrial) (ABCB8) (Mitochondrial sulfonylurea-receptor) (MITOSUR)",Mitochondrion inner membrane,,
Abcc1,ENSMUSG00000023088,2,2,Multidrug resistance-associated protein 1,Cell membrane,,
Abcc6,ENSMUSG00000030834,2,2,ATP-binding cassette sub-family C member 6,Basolateral cell membrane,,
Abcc8,ENSMUSG00000040136,2,2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8",,epithelial cell;pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;endocrine cell,
Abcc9,ENSMUSG00000030249,2,2,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),Membrane,vascular leptomeningeal cell;fibroblast;hepatic stellate cell;mesothelial fibroblast;pericyte;mural cell,
Abcd2,ENSMUSG00000055782,2,2,ATP-binding cassette sub-family D member 2,Peroxisome membrane,,
Abcd3,ENSMUSG00000028127,3,2,ATP-binding cassette sub-family D member 3,Peroxisome membrane,,
Abcf1,ENSMUSG00000038762,2,2,ATP-binding cassette sub-family F member 1,Cytoplasm,,
Abcg2,ENSMUSG00000029802,2,2,Broad substrate specificity ATP-binding cassette transporter ABCG2,Cell membrane,vasa recta descending limb cell;endothelial stalk cell;prostate gland microvascular endothelial cell,
Abcg8,ENSMUSG00000024254,2,2,ATP-binding cassette sub-family G member 8,Cell membrane,,
Abhd17c,ENSMUSG00000038459,2,2,Alpha/beta hydrolase domain-containing protein 17C (Abhydrolase domain-containing protein 17C),Recycling endosome membrane,type I pneumocyte,
Abhd4,ENSMUSG00000040997,2,2,(Lyso)-N-acylphosphatidylethanolamine lipase,,,
Abhd5,ENSMUSG00000032540,2,2,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,Cytoplasm;Lipid droplet,megakaryocyte-erythroid progenitor cell;granulocytopoietic cell,
Abi1,ENSMUSG00000058835,2,2,Abl interactor 1 (Abelson interactor 1) (Abi-1) (Ablphilin-1) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Spectrin SH3 domain-binding protein 1) (e3B1),Cytoplasm,,
Abi3bp,ENSMUSG00000035258,2,2,ABI family member 3 binding protein,,basal epithelial cell of tracheobronchial tree;smooth muscle cell of the pulmonary artery;connective tissue cell;fibroblast;pancreatic stellate cell;fibroblast of connective tissue of prostate;chondrocyte,
Abitram,ENSMUSG00000038827,2,2,Protein Abitram (Actin-binding transcription modulator) (Protein Simiate),Nucleus speckle,,
Abl1,ENSMUSG00000026842,2,2,Tyrosine-protein kinase ABL1,Cytoplasm,,
